timestamp,pod_name,namespace,cpu_allocation_efficiency,memory_allocation_efficiency,disk_io,network_latency,node_temperature,node_cpu_usage,node_memory_usage,event_type,event_message,scaling_event,pod_lifetime_seconds,failure_type
01/01/2023 03:11,pod_11499,dev,0.597308986,0.35329184,666.0098057,14.93284936,32.46829644,55.13999613,32.3140218,Warning,OOMKilled,False,57914,memory_exhaustion
01/01/2023 01:47,pod_6475,prod,0.015191747,0.152233503,338.6908944,31.18844813,50.51853779,58.71626845,46.3799812,Normal,Killed,True,16192,normal
01/01/2023 03:39,pod_13167,default,0.91666955,0.727747543,762.0628695,54.66635414,57.97201015,22.54275499,93.28720035,Warning,Killed,False,187880,pod_termination
01/01/2023 00:14,pod_862,dev,0.20884406,0.358542643,972.0718244,10.25869661,23.00744604,94.61372114,39.25764769,Error,Failed,True,129928,pod_failure
01/01/2023 01:39,pod_5970,dev,0.317673583,0.102623581,768.4101007,165.2647363,49.3508444,48.71618809,65.70374455,Normal,Killed,True,41065,network_latency_issue
01/01/2023 01:51,pod_6706,prod,0.239156342,0.997962031,914.0376292,135.9838013,65.52205202,14.70442304,32.82492842,Warning,Started,False,183230,disk_io_bottleneck
01/01/2023 00:50,pod_3017,kube-system,0.769839258,0.092282046,348.3213263,36.69074522,80.21047617,97.78743602,46.44097327,Normal,Failed,False,59155,cpu_exhaustion
01/01/2023 01:03,pod_3781,dev,0.927530683,0.933416724,111.3607211,129.6453733,61.4268182,7.241005103,28.29861594,Error,Killed,True,138475,pod_termination
01/01/2023 01:04,pod_3898,dev,0.296475373,0.436877843,875.9031651,159.3649358,25.11449648,55.72958668,22.28433844,Error,Completed,False,111972,network_latency_issue
01/01/2023 00:37,pod_2250,default,0.01730987,0.076237309,391.0999049,65.7519476,31.2239956,35.15188412,6.295377977,Normal,Failed,True,117842,normal
01/01/2023 00:09,pod_542,dev,0.999614471,0.608542554,609.4462836,163.5600311,38.95147791,20.40129361,48.47291304,Warning,Started,True,109756,network_latency_issue
01/01/2023 01:12,pod_4351,dev,0.526082332,0.81481681,12.0349056,193.4100998,24.02454418,31.57954947,73.67929112,Error,Killed,True,174415,pod_termination
01/01/2023 03:33,pod_12807,default,0.679241576,0.211056631,613.092727,121.2066932,32.72184425,88.55519575,99.0218477,Warning,Killed,False,59238,pod_termination
01/01/2023 01:50,pod_6631,kube-system,0.010312345,0.288542599,177.285316,109.8727942,74.64110412,5.593929416,62.14467991,Normal,Completed,False,135391,normal
01/01/2023 01:51,pod_6705,prod,0.708899214,0.345266442,329.4405696,1.079428972,37.86213761,43.71794554,57.93628161,Error,OOMKilled,False,197016,memory_exhaustion
01/01/2023 01:56,pod_6978,dev,0.965536339,0.585865313,673.4958155,157.5686236,42.93080898,52.94981869,22.01148488,Warning,Killed,False,139186,pod_termination
01/01/2023 02:03,pod_7399,prod,0.985853162,0.606032542,968.0450067,76.76514454,83.72014712,44.49992941,66.43396929,Warning,Killed,True,12720,pod_termination
01/01/2023 03:05,pod_11119,kube-system,0.901931622,0.485519425,602.9769965,34.72523419,21.48327494,99.1090856,76.68202717,Error,Failed,True,142889,pod_failure
01/01/2023 03:31,pod_12665,prod,0.186479279,0.13022364,825.0586607,58.12805874,55.09889149,95.27667539,21.06682802,Normal,OOMKilled,True,168022,cpu_exhaustion
01/01/2023 01:28,pod_5304,prod,0.552019581,0.014817607,177.5938116,5.137494214,56.27143141,56.32819803,25.23989474,Warning,Completed,True,55618,normal
01/01/2023 00:38,pod_2312,prod,0.65227812,0.049097932,406.7692962,17.10618476,74.55483861,46.90031589,21.43098662,Normal,Killed,True,38218,normal
01/01/2023 01:57,pod_7040,dev,0.469143386,0.751408833,906.528158,117.9523388,77.69377432,55.33317995,9.566322088,Normal,Started,False,117527,disk_io_bottleneck
01/01/2023 00:31,pod_1889,dev,0.116423257,0.954159627,452.6182987,20.25447422,71.98343297,47.94047959,52.91332351,Normal,Killed,False,152720,normal
01/01/2023 02:29,pod_8991,prod,0.234474185,0.115326486,165.7911874,90.39861992,30.92010372,93.85786166,11.63076436,Normal,Started,True,113861,cpu_exhaustion
01/01/2023 00:02,pod_169,dev,0.391724459,0.715877506,572.1499528,54.76266339,61.88755355,1.616233354,58.77091339,Warning,OOMKilled,False,152567,memory_exhaustion
01/01/2023 00:29,pod_1795,prod,0.302290932,0.325438133,760.5580181,175.5135162,21.5254794,22.81184421,24.35585838,Error,Completed,False,28458,network_latency_issue
01/01/2023 01:06,pod_3975,prod,0.02476657,0.329001288,657.2949973,26.88068549,92.63916609,72.92167496,90.83265966,Warning,Completed,True,10874,memory_exhaustion
01/01/2023 01:53,pod_6820,dev,0.596942859,0.627161655,197.939144,130.8053087,78.31643889,88.19032388,40.38115503,Warning,Killed,False,1325,pod_termination
01/01/2023 02:10,pod_7826,default,0.884724046,0.028542593,42.01812347,71.4395417,99.26187753,63.28667928,84.3125053,Normal,Started,False,68993,overheating
01/01/2023 03:16,pod_11809,kube-system,0.999677249,0.458728198,608.747317,88.72528129,20.63160871,70.45950465,84.20093951,Error,Failed,True,745,pod_failure
01/01/2023 00:17,pod_1039,kube-system,0.13941896,0.54295878,76.74607192,59.85702989,95.14487913,27.82253167,63.3590987,Error,Failed,True,155761,pod_failure
01/01/2023 00:47,pod_2848,prod,0.819170761,0.077599773,616.607954,62.67887802,95.71285644,2.677354098,80.58406849,Warning,Killed,False,23937,pod_termination
01/01/2023 00:56,pod_3371,default,0.711920774,0.481565283,561.2763357,176.4115357,59.39906286,18.81873066,27.65973766,Normal,Failed,False,193898,network_latency_issue
01/01/2023 02:27,pod_8829,kube-system,0.657182789,0.608284243,665.0100026,110.0774845,26.96397266,79.82940612,39.09827726,Warning,Started,False,23163,normal
01/01/2023 02:52,pod_10349,default,0.663974706,0.412328068,369.5789681,37.07111749,79.85934294,75.46045821,94.18837678,Warning,OOMKilled,False,85180,memory_exhaustion
01/01/2023 02:26,pod_8797,dev,0.969797217,0.255220546,235.7182183,33.20775458,81.96915071,18.10581172,50.54993984,Normal,Started,False,855,overheating
01/01/2023 00:12,pod_764,dev,0.357501057,0.286626792,893.1197011,88.43201078,75.05359195,32.33659985,55.71928586,Error,Completed,False,86011,normal
01/01/2023 00:26,pod_1593,default,0.486514494,0.744239687,331.2254444,53.21891514,27.88698945,18.88816614,97.06797322,Warning,Killed,False,47120,pod_termination
01/01/2023 03:57,pod_14232,default,0.747618071,0.86944029,103.3659653,73.21922481,45.31512335,50.92471181,77.11403724,Error,Failed,True,22814,pod_failure
01/01/2023 01:37,pod_5872,dev,0.788804114,0.299870915,874.6390023,182.4524167,92.02267085,97.9433894,65.04041847,Error,Completed,False,80182,cpu_exhaustion
01/01/2023 02:45,pod_9940,dev,0.654556613,0.748439893,261.5720055,161.2093179,47.61487954,25.06181658,37.14139496,Error,Failed,True,106577,pod_failure
01/01/2023 01:26,pod_5169,prod,0.290792327,0.834040204,302.841966,174.3590318,39.6415483,71.96571968,78.5238242,Normal,OOMKilled,False,61473,network_latency_issue
01/01/2023 03:01,pod_10909,kube-system,0.811344081,0.912795405,694.9359968,30.14124445,75.34647631,94.61180988,6.494007008,Error,Started,True,181709,cpu_exhaustion
01/01/2023 01:08,pod_4122,default,0.090758243,0.866828349,672.0819359,148.2869716,40.91014993,61.99957619,34.80357864,Error,Killed,True,132334,pod_termination
01/01/2023 03:35,pod_12948,default,0.245394664,0.144209851,714.6859474,43.65394127,29.02741728,46.18875867,51.85717113,Normal,Completed,True,136292,normal
01/01/2023 04:01,pod_14482,default,0.28083585,0.988064701,270.6819645,53.06613662,76.6611092,80.50765864,90.15034777,Error,OOMKilled,False,97596,memory_exhaustion
01/01/2023 00:02,pod_149,prod,0.923455223,0.265581333,734.4006206,10.06936293,69.58864265,83.76934513,21.62591735,Normal,Started,True,64590,normal
01/01/2023 03:15,pod_11736,default,0.891013515,0.648183372,775.5541392,73.02076845,63.69657825,62.1335239,39.19803666,Warning,Killed,False,183747,pod_termination
01/01/2023 00:06,pod_387,dev,0.874578697,0.779353782,756.321674,165.3151838,52.55185328,46.89263127,97.74123901,Normal,Killed,True,199733,memory_exhaustion
01/01/2023 01:05,pod_3946,prod,0.554009433,0.337496813,324.9474811,177.6079467,28.16502625,50.20613811,21.84375968,Normal,OOMKilled,True,41190,network_latency_issue
01/01/2023 03:43,pod_13402,default,0.648887053,0.204134612,644.2490243,133.3139006,97.35252073,13.97928866,68.37842753,Warning,OOMKilled,False,140084,memory_exhaustion
01/01/2023 00:22,pod_1373,prod,0.071566358,0.104352108,445.1186016,29.02054477,45.25875668,8.968014381,23.18434032,Error,Completed,False,19291,normal
01/01/2023 00:48,pod_2884,dev,0.682491196,0.542573337,211.6147661,43.1824421,81.28989915,60.12124215,78.44256844,Warning,Started,True,85059,overheating
01/01/2023 03:54,pod_14042,kube-system,0.618241951,0.185845644,136.6658569,39.45753206,73.73095028,1.175960338,77.78571451,Normal,Started,True,179939,normal
01/01/2023 03:09,pod_11360,kube-system,0.473303183,0.74194368,643.6702644,197.0177456,99.42351525,14.69053224,27.86742191,Warning,OOMKilled,False,30766,memory_exhaustion
01/01/2023 00:49,pod_2991,dev,0.648992466,0.439831997,900.3072413,124.5641784,58.67687285,54.08987051,9.101886376,Warning,Started,False,30978,disk_io_bottleneck
01/01/2023 03:13,pod_11595,default,0.233013237,0.702258018,780.7498621,113.9620883,23.88685747,30.78029776,6.360069087,Normal,Completed,True,103228,normal
01/01/2023 02:56,pod_10581,dev,0.6016195,0.246349013,285.5424365,165.0508097,88.28111257,67.72075842,48.86432701,Normal,Started,False,166053,network_latency_issue
01/01/2023 04:07,pod_14867,dev,0.313136165,0.306786586,274.2473849,122.1734132,73.55036012,24.12206162,90.35510032,Error,Failed,True,46733,pod_failure
01/01/2023 04:00,pod_14424,prod,0.12097655,0.240731754,311.1559928,43.28506733,79.52274638,14.76596393,31.50107919,Normal,Killed,False,55845,normal
01/01/2023 00:50,pod_3024,prod,0.991376168,0.344778951,906.5089836,198.1426013,83.71921737,46.75529416,89.07864283,Normal,OOMKilled,True,107786,disk_io_bottleneck
01/01/2023 00:04,pod_251,prod,0.314956388,0.777930965,576.6429341,87.32345327,87.06859783,93.54796891,43.20667637,Normal,Completed,False,174665,cpu_exhaustion
01/01/2023 03:22,pod_12146,default,0.169950866,0.182232303,53.54079198,170.2728208,23.11350635,37.24242476,10.33759893,Warning,Completed,True,28649,network_latency_issue
01/01/2023 03:10,pod_11438,prod,0.113596634,0.178139171,680.9014202,199.8257937,45.42233068,49.15292864,73.41012394,Normal,Started,True,147963,network_latency_issue
01/01/2023 01:58,pod_7092,prod,0.343583699,0.617295544,316.8345349,130.3158137,36.52793058,70.26294096,28.77872716,Error,Failed,True,44417,pod_failure
01/01/2023 00:15,pod_932,kube-system,0.909766773,0.584274191,741.231143,98.08296729,45.4589803,56.0184795,4.038360765,Normal,Failed,True,166172,normal
01/01/2023 02:00,pod_7217,kube-system,0.897414903,0.539739051,553.7469455,175.066897,48.61569344,61.23020576,15.87770944,Normal,Killed,True,31454,network_latency_issue
01/01/2023 01:01,pod_3684,default,0.902503769,0.735899582,445.5201467,108.3351435,97.81504588,94.68819519,47.27447569,Normal,OOMKilled,True,69265,cpu_exhaustion
01/01/2023 02:19,pod_8368,dev,0.620608457,0.498236179,462.1886813,14.97979604,76.86353989,20.90675506,16.76333164,Error,Failed,True,8950,pod_failure
01/01/2023 02:37,pod_9478,dev,0.760511628,0.535253429,681.1598929,192.3086983,39.68083236,47.76232744,3.921644993,Normal,Failed,False,197613,network_latency_issue
01/01/2023 03:15,pod_11724,prod,0.124610836,0.565060036,646.6818766,14.52276722,81.39687812,48.73822007,86.34623684,Error,Failed,True,61548,pod_failure
01/01/2023 02:03,pod_7417,kube-system,0.19413092,0.417757148,297.8532513,158.7008544,73.31767848,58.86342327,16.6693383,Normal,OOMKilled,False,76164,network_latency_issue
01/01/2023 02:55,pod_10504,default,0.935355086,0.895383848,745.818407,101.1229107,98.11186014,63.33015853,53.67112733,Normal,Completed,True,75395,overheating
01/01/2023 02:55,pod_10515,prod,0.87239595,0.174262713,129.9744248,101.1568674,20.21062779,15.32875677,97.43562284,Normal,Killed,False,31585,memory_exhaustion
01/01/2023 03:45,pod_13509,dev,0.603815802,0.924132299,98.1913899,129.9213302,20.10744855,73.94453542,38.78463425,Error,Started,True,85240,normal
01/01/2023 01:59,pod_7172,dev,0.142134988,0.809472017,428.0226895,118.7839913,20.1366813,91.52469719,53.76235593,Normal,Started,False,86754,cpu_exhaustion
01/01/2023 00:55,pod_3328,kube-system,0.357496911,0.986880375,71.28010625,88.07480292,82.72598537,13.96633953,64.37839224,Error,OOMKilled,True,142358,memory_exhaustion
01/01/2023 01:23,pod_5023,dev,0.111511713,0.158314148,320.5568605,29.37383623,71.19610298,34.1693363,89.49645792,Error,Completed,True,157248,normal
01/01/2023 00:36,pod_2214,default,0.178275797,0.608900736,887.836748,144.2767209,38.3682892,87.63699433,32.62467923,Normal,OOMKilled,True,174871,normal
01/01/2023 00:36,pod_2216,default,0.312778181,0.549734333,964.9124305,6.575641458,82.2278164,62.76221353,87.98668018,Normal,Failed,False,68672,disk_io_bottleneck
01/01/2023 04:06,pod_14795,dev,0.535753401,0.305885726,461.361609,110.5416426,58.3193663,60.18516534,36.28773299,Normal,Started,False,185373,normal
01/01/2023 00:47,pod_2859,prod,0.935307674,0.483300482,287.4943459,89.06914844,73.96856276,76.04113409,34.47465247,Error,Completed,True,123209,normal
01/01/2023 01:07,pod_4024,dev,0.634056223,0.994833926,229.348786,162.6505957,33.67844332,51.95727028,71.70525436,Error,OOMKilled,True,12239,memory_exhaustion
01/01/2023 00:46,pod_2760,prod,0.077991849,0.363459643,855.8536406,187.9134842,22.5881346,66.76048869,31.57582691,Normal,OOMKilled,False,90271,network_latency_issue
01/01/2023 00:54,pod_3290,prod,0.103972156,0.498606604,967.6932145,59.91184794,95.04016902,66.04024934,23.21497597,Normal,Killed,False,193155,disk_io_bottleneck
01/01/2023 02:47,pod_10043,default,0.822412665,0.808948778,842.1046497,91.60017666,50.10195204,44.63966765,96.91569176,Warning,Started,False,8500,memory_exhaustion
01/01/2023 00:43,pod_2626,default,0.213661338,0.773563382,289.4286827,145.30996,39.8054599,72.26270689,5.70372893,Error,Completed,True,148802,normal
01/01/2023 01:16,pod_4609,prod,0.231450423,0.60993014,823.9853371,28.30136587,64.61104544,13.71245146,72.80383637,Error,OOMKilled,False,178958,memory_exhaustion
01/01/2023 03:41,pod_13283,kube-system,0.384752962,0.326631613,401.0918044,106.0297151,89.31109345,56.47981673,23.94920731,Error,OOMKilled,False,63787,memory_exhaustion
01/01/2023 03:27,pod_12472,prod,0.386938495,0.121945863,319.7860109,192.4441376,70.56432997,39.39629912,55.85911063,Warning,Started,False,56266,network_latency_issue
01/01/2023 03:15,pod_11739,dev,0.807452682,0.956588895,231.6627648,48.41803562,21.67841479,60.8487355,48.78075841,Error,Killed,False,73677,pod_termination
01/01/2023 01:51,pod_6661,kube-system,0.632017652,0.246886613,493.7455634,127.1444604,83.16209472,67.82746341,54.48453139,Warning,Started,True,133614,overheating
01/01/2023 03:52,pod_13939,prod,0.240344041,0.672637656,858.4492263,31.86465321,76.67035821,60.90160651,40.13597403,Error,Failed,True,1743,pod_failure
01/01/2023 02:02,pod_7359,kube-system,0.618067384,0.090688645,356.7557218,4.60479528,23.18210614,41.55285922,75.43099884,Warning,Completed,True,185131,normal
01/01/2023 00:53,pod_3204,kube-system,0.480578641,0.990155468,312.1923344,126.4196427,68.54900794,58.08953295,19.79552783,Warning,Killed,False,168049,pod_termination
01/01/2023 03:15,pod_11752,dev,0.393842733,0.171833687,446.1638509,72.26130163,20.00205882,14.71336457,16.53473116,Warning,Failed,True,76379,pod_failure
01/01/2023 01:42,pod_6126,dev,0.579101983,0.860955251,590.8819825,154.992653,28.84875404,86.89274676,71.79988857,Warning,OOMKilled,True,97567,memory_exhaustion
